ticker,n_rows,up_fraction
ADANIPORTS,2456,0.501628664495114
ASIANPAINT,2456,0.5118078175895765
AXISBANK,2456,0.5004071661237784
BAJAJ-AUTO,2456,0.497557003257329
BAJAJFINSV,2456,0.5109934853420195
BAJFINANCE,2456,0.5256514657980456
BHARTIARTL,2456,0.49063517915309446
BPCL,2456,0.504071661237785
BRITANNIA,2456,0.5036644951140065
CIPLA,2456,0.4784201954397394
COALINDIA,2456,0.49104234527687296
DRREDDY,2456,0.5093648208469055
EICHERMOT,2456,0.5126221498371335
GAIL,2456,0.496742671009772
GRASIM,2456,0.5012214983713354
HCLTECH,2456,0.5333876221498371
HDFC,2456,0.508957654723127
HDFCBANK,2456,0.5130293159609121
HEROMOTOCO,2456,0.4955211726384365
HINDALCO,2456,0.494299674267101
HINDUNILVR,2456,0.504071661237785
ICICIBANK,2456,0.4947068403908795
INDUSINDBK,2456,0.50814332247557
INFY,2456,0.5244299674267101
IOC,2456,0.4995928338762215
ITC,2456,0.50814332247557
JSWSTEEL,2456,0.5154723127035831
KOTAKBANK,2456,0.5203583061889251
LT,2456,0.48493485342019543
MARUTI,2456,0.499185667752443
MM,2456,0.5134364820846905
NESTLEIND,2456,0.502442996742671
NIFTY50_all,120344,0.505509206940105
NTPC,2456,0.48656351791530944
ONGC,2456,0.49226384364820847
POWERGRID,2456,0.4979641693811075
RELIANCE,2456,0.5069218241042345
SBIN,2456,0.5
SHREECEM,2456,0.5166938110749185
SUNPHARMA,2456,0.5077361563517915
TATAMOTORS,2456,0.49185667752442996
TATASTEEL,2456,0.4987785016286645
TCS,2456,0.5162866449511401
TECHM,2456,0.5232084690553745
TITAN,2456,0.5175081433224755
ULTRACEMCO,2456,0.5150651465798045
UPL,2456,0.5175081433224755
VEDL,2456,0.49226384364820847
WIPRO,2456,0.5256514657980456
ZEEL,2456,0.5028501628664495
