,0
return,0.048666403562301175
%Deliverble,0.04645427154341557
vol_10,0.04467931630245998
rsi_14,0.04432522962182229
Trades,0.04423319074569511
Deliverable Volume,0.04282972415200297
vol_20,0.041904393850324684
Volume,0.04078126162292559
bb_width,0.040779386987109846
macd,0.039957634548074876
macd_signal,0.03979306303940603
Turnover,0.03941189519167847
Close_lag_4,0.03145243546806604
Close_lag_5,0.03087852528412644
Close_lag_3,0.03057828346351532
bb_lower,0.02902402975846776
bb_upper,0.028561067754984064
Close_lag_2,0.027888761429495045
ema_26,0.02702082550186797
Close,0.026609217398912543
Last,0.0264934574703886
Prev Close,0.02614896845257002
sma_20,0.02606589818509913
Open,0.025986687034450073
VWAP,0.02557590840826514
Close_lag_1,0.02547738905293306
sma_10,0.024778823262605033
Low,0.02474966862020957
High,0.024552497419488763
ema_12,0.024341784867338873
