,0
rsi_14,0.04861328068810783
return,0.04681768432903258
vol_20,0.044860974857691374
%Deliverble,0.044664823500396245
Deliverable Volume,0.044449048989305656
macd,0.044434156121916146
bb_width,0.04356136794497566
Trades,0.04355067666751065
macd_signal,0.0433038973530612
vol_10,0.04296128098252453
Volume,0.04130396862874569
Turnover,0.04110418908450284
Close_lag_5,0.03155856844988901
Close_lag_4,0.029916145010398507
bb_lower,0.029786963787463008
Close_lag_3,0.028218360212125555
bb_upper,0.02787863038474478
Close_lag_2,0.027686892735045977
sma_20,0.025498053609615136
ema_26,0.025277347575743205
Close_lag_1,0.025165721849564802
VWAP,0.02511963602223684
Close,0.025082438938216812
Prev Close,0.024717591267794548
Open,0.02471243607517095
sma_10,0.024586518536275408
Last,0.024531838668355992
High,0.024521771333078906
Low,0.02376946830557265
ema_12,0.022346268090937607
