,0
return,0.05069666509279187
vol_10,0.04754483411840698
%Deliverble,0.04645091776128946
rsi_14,0.045475888701830135
vol_20,0.04278291053691468
Trades,0.0427015413741939
bb_width,0.04255645243357045
Deliverable Volume,0.04235577607977368
Turnover,0.040475601214665625
macd_signal,0.04022906071075825
Volume,0.039293658718521196
macd,0.038714710896627515
Close_lag_5,0.031517041963538606
Close_lag_4,0.03110627052154517
Close_lag_2,0.03010985031403753
Close_lag_3,0.029120576041112043
bb_lower,0.02901654573480003
bb_upper,0.028888160241063377
sma_20,0.027135612169421723
ema_26,0.026779866653683957
sma_10,0.0255276774770689
Close,0.025480353159610687
Open,0.02518835810032859
VWAP,0.02468486012562445
Prev Close,0.024655509354135408
Low,0.02454667046667823
High,0.024503927708089734
Last,0.024494727199267787
ema_12,0.024075951520642496
Close_lag_1,0.023890023610007634
