,0
return,0.04895586281627349
vol_10,0.04818157441193879
Trades,0.04699360433085195
Deliverable Volume,0.04664932923897358
macd,0.04548239405561818
rsi_14,0.045239441864421984
%Deliverble,0.04519608233238761
Volume,0.044905754098103864
macd_signal,0.0427761573454161
vol_20,0.04225685844396848
bb_width,0.04219850848276679
Turnover,0.03887357544187124
Close_lag_5,0.029903581901338745
Close_lag_4,0.02914250856652622
bb_lower,0.02866851151319696
Close_lag_3,0.027861986907171073
Close_lag_2,0.027180504508292565
bb_upper,0.0265630057350183
ema_26,0.02579458696235362
Close,0.02530864735670393
sma_20,0.02507894074209602
High,0.025013567373821627
Open,0.02477695163111833
Last,0.02445239878935326
ema_12,0.02422953112801556
Close_lag_1,0.024200625108666142
VWAP,0.02403116078174922
sma_10,0.023776701308398124
Low,0.023450270491956447
Prev Close,0.02285737633163166
