,0
return,0.051283459256276094
bb_width,0.046158210359206225
Volume,0.04603230221062599
%Deliverble,0.045722910458926104
Deliverable Volume,0.04513642534837629
vol_10,0.04510851607592917
Trades,0.04375612691333524
rsi_14,0.04366722277682365
vol_20,0.04147229666849629
macd,0.040792150628753035
Turnover,0.04054865463543209
macd_signal,0.040308414659373244
bb_upper,0.02917665899335243
Close_lag_5,0.028976651028121296
bb_lower,0.028454192216746024
Close_lag_3,0.02757064727601473
Close_lag_2,0.027286449766442504
Close_lag_4,0.0266086948931472
ema_26,0.026452260804227266
Open,0.026176432930453564
sma_20,0.026027630722545905
Close_lag_1,0.02596692885270584
Close,0.025576752965599223
Prev Close,0.02557391743088804
sma_10,0.02497771293114315
Low,0.024803764639101007
High,0.024650011687919932
VWAP,0.02397583802974685
Last,0.02396910680012465
ema_12,0.023789658040167017
