,0
%Deliverble,0.04486136004331941
return,0.044433755821261835
Trades,0.044108817606799675
bb_width,0.044063834000029535
rsi_14,0.04263057481716461
vol_10,0.042514271878800025
Turnover,0.04170248145798982
vol_20,0.04083374434575956
Deliverable Volume,0.04047298341317011
macd_signal,0.04046003138693808
Volume,0.0398701392143661
macd,0.03945148107260379
Close_lag_5,0.032621472234797264
Close_lag_4,0.03228400102452813
bb_lower,0.03005334220332184
Close_lag_2,0.02955620562600073
Close_lag_3,0.027886715270777084
bb_upper,0.027675007609602304
Close_lag_1,0.02764430568217787
High,0.026947439601129906
sma_10,0.026651810232245065
Open,0.026397927277316727
ema_26,0.026391966659070586
Close,0.026221073057183856
sma_20,0.02595924574157796
VWAP,0.025916814619275086
Last,0.02590579479391551
Prev Close,0.0257065402735142
Low,0.025690509409688884
ema_12,0.025086353625674435
