,0
%Deliverble,0.046219866271825845
return,0.04454603340256581
vol_10,0.04368950260501425
bb_width,0.042054876411700165
Deliverable Volume,0.04190948701196308
Trades,0.04160859964993819
rsi_14,0.04062151325232369
Volume,0.039335100889080925
macd_signal,0.03867619936740062
macd,0.038634143434124316
vol_20,0.03856887461717397
Turnover,0.03608383308035673
Close_lag_5,0.03440778212472777
bb_lower,0.03216489572486861
Close_lag_2,0.030933695252048168
Close_lag_4,0.030442831812520627
Close_lag_3,0.02921709294538094
ema_26,0.028640235423855312
bb_upper,0.02794349221103957
Low,0.02782132793566534
Open,0.027226948275571157
Prev Close,0.027206358092947396
sma_20,0.027082403190926
Close,0.027071206483550356
Close_lag_1,0.027008584484537974
High,0.02682327717440518
sma_10,0.026680883559433755
ema_12,0.02614133946648645
Last,0.02586803512261279
VWAP,0.025371580725955155
