,0
return,0.0454143458494672
%Deliverble,0.04378757057921045
vol_10,0.04089613521681674
bb_width,0.04066727306921161
rsi_14,0.04052310835888407
Trades,0.04024994407353681
Deliverable Volume,0.039474691110640565
vol_20,0.03861434642532967
macd,0.038313921069996114
macd_signal,0.03762152156782583
Turnover,0.03661998070907049
Volume,0.0342989092033563
Close_lag_5,0.03247156683659536
bb_upper,0.03237870424321647
Close_lag_2,0.03136261589755006
Close_lag_4,0.03123035877935025
bb_lower,0.031103429733094847
Close_lag_3,0.030446216392385993
sma_20,0.02888667624221147
Low,0.02872766846523644
Prev Close,0.02843232659364586
sma_10,0.028342305896751997
Close,0.028275576477692882
ema_26,0.02810656453135077
Open,0.02807469243327687
High,0.02803700074554008
Close_lag_1,0.027718955865418348
Last,0.027717567686102673
VWAP,0.026842612707261404
ema_12,0.025363413239972425
