,0
return,0.05005835276176303
vol_10,0.046479006920719046
bb_width,0.046033078551309864
rsi_14,0.04530064052809725
Trades,0.04440231307308406
vol_20,0.04406694818676517
%Deliverble,0.04366763243731823
Volume,0.0429077320425544
Deliverable Volume,0.040989381051114056
Turnover,0.040377361135765975
macd,0.04006911241099678
macd_signal,0.03884428271726479
bb_lower,0.03026801029176296
Close_lag_4,0.029729417835285436
Close_lag_5,0.029344124235029717
Close_lag_3,0.028796327568444163
bb_upper,0.02781931953986102
Close_lag_2,0.027618160382245606
High,0.027581555149718405
ema_26,0.026059366229121448
Close,0.026011813244622217
Open,0.025845512340065522
sma_20,0.025414688774150217
Prev Close,0.02539146012589587
Last,0.025354597626456518
Low,0.025112174082466025
VWAP,0.024627679189155746
Close_lag_1,0.024531601343534316
sma_10,0.023828952293435412
ema_12,0.02346939793199677
