,0
return,0.049426165678354436
%Deliverble,0.04671226189701013
bb_width,0.044935183013664934
vol_10,0.044745880761432516
rsi_14,0.04458789080017369
Trades,0.04228942106794191
Deliverable Volume,0.04217878250030681
vol_20,0.04146712388533691
Volume,0.04049605663139937
macd,0.03952447135389158
Turnover,0.03880803953432381
macd_signal,0.03869113663658145
Close_lag_4,0.03305230235054519
Close_lag_5,0.03056357148636197
Close_lag_3,0.030314416063688898
bb_lower,0.029833357809313375
Close_lag_2,0.02951689313555289
bb_upper,0.028159016109264468
sma_20,0.026949170683658305
ema_26,0.026627279293933992
Last,0.026617936099156296
Prev Close,0.025786677024824074
High,0.02547676387514732
sma_10,0.0252433264734978
Close,0.02508270415291083
Open,0.02508212845265751
Low,0.02482443156909284
ema_12,0.024704184593096472
Close_lag_1,0.024421351952022496
VWAP,0.023882075114857855
