,0
return,0.04592319691177769
%Deliverble,0.04384435247580692
vol_10,0.04316707058074819
rsi_14,0.042733410919227666
Trades,0.04114650249267136
Deliverable Volume,0.04044185511151494
vol_20,0.04009735714681186
Turnover,0.03856660975840376
macd_signal,0.03801173747915357
bb_width,0.03774540198333767
Volume,0.03717400173516581
macd,0.03643468352998821
Close_lag_5,0.03241801779223739
bb_lower,0.03211740415971844
Close_lag_3,0.0320195003157032
Close_lag_4,0.03178709729190071
Close_lag_2,0.03095499571685776
bb_upper,0.029682406772556128
sma_10,0.028976773529633026
ema_26,0.02888822984663115
Close,0.027714592766320642
Low,0.027504044944189374
Open,0.027308500834686132
sma_20,0.02715892508281386
High,0.026900433178942255
VWAP,0.026836999397832545
Last,0.026478095936678634
ema_12,0.026200846821918172
Close_lag_1,0.025960895551111043
Prev Close,0.025806059935661957
